,Association,Country,Code
0,UEFA,Argentina,ARG
1,UEFA,Bolivia,BOL
2,UEFA,Brazil,BRA
3,UEFA,Chile,CHI
4,UEFA,Colombia,COL
5,UEFA,Ecuador,ECU
6,UEFA,Paraguay,PAR
7,UEFA,Peru,PER
8,UEFA,Uruguay,URU
9,UEFA,Venezuela,VEN
10,CONMEBOL,Albania,ALB
11,CONMEBOL,Andorra,AND
12,CONMEBOL,Armenia,ARM
13,CONMEBOL,Austria,AUT
14,CONMEBOL,Azerbaijan,AZE
15,CONMEBOL,Belarus,BLR
16,CONMEBOL,Belgium,BEL
17,CONMEBOL,Bosnia and Herzegovina,BIH
18,CONMEBOL,Bulgaria,BUL
19,CONMEBOL,Croatia,CRO
20,CONMEBOL,Cyprus,CYP
21,CONMEBOL,Czech Republic,CZE
22,CONMEBOL,Denmark,DEN
23,CONMEBOL,England,ENG
24,CONMEBOL,Estonia,EST
25,CONMEBOL,Faroe Islands,FRO
26,CONMEBOL,Finland,FIN
27,CONMEBOL,France,FRA
28,CONMEBOL,Georgia,GEO
29,CONMEBOL,Germany,GER
30,CONMEBOL,Gibraltar,GIB
31,CONMEBOL,Greece,GRE
32,CONMEBOL,Hungary,HUN
33,CONMEBOL,Iceland,ISL
34,CONMEBOL,Israel[n 5],ISR
35,CONMEBOL,Italy,ITA
36,CONMEBOL,Kazakhstan[n 7],KAZ
37,CONMEBOL,Kosovo,KOS
38,CONMEBOL,Latvia,LVA
39,CONMEBOL,Liechtenstein,LIE
40,CONMEBOL,Lithuania,LTU
41,CONMEBOL,Luxembourg,LUX
42,CONMEBOL,Malta,MLT
43,CONMEBOL,Moldova,MDA
44,CONMEBOL,Montenegro,MNE
45,CONMEBOL,Netherlands,NED
46,CONMEBOL,North Macedonia,MKD
47,CONMEBOL,Northern Ireland,NIR
48,CONMEBOL,Norway,NOR
49,CONMEBOL,Poland,POL
50,CONMEBOL,Portugal,POR
51,CONMEBOL,Republic of Ireland,IRL
52,CONMEBOL,Romania,ROU
53,CONMEBOL,Russia,RUS
54,CONMEBOL,San Marino,SMR
55,CONMEBOL,Scotland,SCO
56,CONMEBOL,Serbia,SRB
57,CONMEBOL,Slovakia,SVK
58,CONMEBOL,Slovenia,SVN
59,CONMEBOL,Spain,ESP
60,CONMEBOL,Sweden,SWE
61,CONMEBOL,Switzerland,SUI
62,CONMEBOL,Turkey,TUR
63,CONMEBOL,Ukraine,UKR
64,CONMEBOL,Wales,WAL
