,Won,Runnner Up,finals,Years won,Years runners-up
Argentina,2.0,3.0,5.0,"['1978', '1986']","['1930', '1990', '2014']"
Brazil,5.0,2.0,7.0,"['1958', '1962', '1970', '1994', '2002']","['1950', '1998']"
England,1.0,0.0,1.0,['1966'],
France,2.0,1.0,3.0,"['1998', '2018']",['2006']
Germany,4.0,4.0,8.0,"['1954', '1974', '1990', '2014']","['1966', '1982', '1986', '2002']"
Italy,4.0,2.0,6.0,"['1934', '1938', '1982', '2006']","['1970', '1994']"
Spain,1.0,0.0,1.0,['2010'],
Uruguay,2.0,0.0,2.0,"['1930', '1950']",
Croatia,0.0,1.0,1.0,,['2018']
Czechoslovakia,0.0,2.0,2.0,,"['1934', '1962']"
Hungary,0.0,2.0,2.0,,"['1938', '1954']"
Netherlands,0.0,3.0,3.0,,"['1974', '1978', '2010']"
Sweden,0.0,1.0,1.0,,['1958']
